Name,LOC
add_size_checked,40
add_size_saturating,37
array_eq,100
array_eq_c_str,112
array_eq_c_str_ignore_case,100
array_eq_ignore_case,78
array_list_back,131
array_list_capacity,109
array_list_clean_up,91
array_list_clear,81
array_list_comparator_string,110
array_list_copy,109
array_list_ensure_capacity,147
array_list_erase,168
array_list_front,130
array_list_get_at,130
array_list_get_at_ptr,127
array_list_init_dynamic,107
array_list_init_static,116
array_list_length,107
array_list_pop_back,126
array_list_pop_front,139
array_list_pop_front_n,131
array_list_push_back,183
array_list_set_at,176
array_list_shrink_to_fit,151
array_list_sort,114
array_list_swap,113
array_list_swap_contents,126
byte_buf_advance,110
byte_buf_append,85
byte_buf_append_dynamic,137
byte_buf_append_with_lookup,105
byte_buf_cat,129
byte_buf_clean_up,50
byte_buf_clean_up_secure,61
byte_buf_eq,127
byte_buf_eq_c_str,142
byte_buf_eq_c_str_ignore_case,130
byte_buf_eq_ignore_case,101
byte_buf_from_array,52
byte_buf_from_c_str,188
byte_buf_from_empty_array,52
byte_buf_init,53
byte_buf_init_copy,106
byte_buf_init_copy_from_cursor,89
byte_buf_reserve,57
byte_buf_reserve_relative,78
byte_buf_reset,67
byte_buf_secure_zero,61
byte_buf_write,104
byte_buf_write_be16,91
byte_buf_write_be32,91
byte_buf_write_be64,97
byte_buf_write_from_whole_buffer,104
byte_buf_write_from_whole_cursor,124
byte_buf_write_from_whole_string,132
byte_buf_write_u8,85
byte_cursor_advance,75
byte_cursor_advance_nospec,88
byte_cursor_compare_lexical,117
byte_cursor_compare_lookup,95
byte_cursor_eq,113
byte_cursor_eq_byte_buf,133
byte_cursor_eq_byte_buf_ignore_case,108
byte_cursor_eq_c_str,126
byte_cursor_eq_c_str_ignore_case,114
byte_cursor_eq_ignore_case,87
byte_cursor_from_array,47
byte_cursor_from_buf,91
byte_cursor_from_c_str,179
byte_cursor_from_string,67
byte_cursor_left_trim_pred,65
byte_cursor_read,112
byte_cursor_read_and_fill_buffer,132
byte_cursor_read_be16,100
byte_cursor_read_be32,100
byte_cursor_read_be64,108
byte_cursor_read_u8,94
byte_cursor_right_trim_pred,64
hash_array_ignore_case,36
hash_byte_cursor_ptr,149
hash_byte_cursor_ptr_ignore_case,55
hash_c_string,266
hash_callback_c_str_eq,198
hash_callback_string_destroy,49
hash_callback_string_eq,100
hash_iter_begin,169
hash_iter_begin_done,186
hash_iter_delete,185
hash_iter_done,170
hash_iter_next,183
hash_ptr,118
hash_string,154
hash_table_clean_up,149
hash_table_clear,147
hash_table_foreach,186
hash_table_get_entry_count,134
hash_table_init_bounded,154
hash_table_init_unbounded,139
hash_table_move,132
hash_table_swap,139
is_power_of_two,11
linked_list_back,156
linked_list_begin,155
linked_list_end,155
linked_list_front,164
linked_list_init,17
linked_list_insert_after,37
linked_list_insert_before,37
linked_list_next,30
linked_list_node_reset,22
linked_list_pop_back,176
linked_list_pop_front,176
linked_list_prev,30
linked_list_push_back,174
linked_list_push_front,174
linked_list_rbegin,162
linked_list_remove,42
linked_list_rend,158
linked_list_swap_contents,219
mul_size_checked,39
mul_size_saturating,38
nospec_mask,21
priority_queue_capacity,172
priority_queue_clean_up,150
priority_queue_init_dynamic,158
priority_queue_init_static,136
priority_queue_size,168
priority_queue_top,187
ptr_eq,10
ring_buffer_clean_up,84
ring_buffer_init,56
round_up_to_power_of_two,37
string_bytes,11
string_compare,108
string_destroy,11
string_destroy_secure,71
string_eq,94
string_eq_byte_buf,111
string_eq_byte_buf_ignore_case,90
string_eq_byte_cursor,111
string_eq_byte_cursor_ignore_case,85
string_eq_c_str,110
string_eq_c_str_ignore_case,99
string_eq_ignore_case,70
string_new_from_array,74
string_new_from_c_str,209
string_new_from_string,90
